border_id,bdr_ctr_1_a3,bdr_ctr_2_a3
645,AUT,ITA
535,CHE,ITA
421,FRA,ITA
254,HRV,ITA
603,SVN,ITA
196,SMR,ITA
686,VAT,ITA
27,EGY,JOR
33,IRQ,JOR
365,ISR,JOR
117,SAU,JOR
208,SYR,JOR
557,RUS,JPN
141,CHN,KAZ
110,KGZ,KAZ
553,RUS,KAZ
277,TKM,KAZ
575,UZB,KAZ
353,SDN,KEN
633,TAZ,KEN
408,UGA,KEN
15,SOM,KEN  
380,ETH,KEN    
140,CHN,KGZ
495,KAZ,KGZ
488,TJK,KGZ
574,UZB,KGZ
94,PRK,KOR
622,IRN,KWT
35,IRQ,KWT
120,SAU,KWT
150,CHN,LAO
559,KHM,LAO
107,MMR,LAO
161,THA,LAO
654,VNM,LAO
474,CIV,LBR
245,GIN,LBR
53,SLE,LBR
457,DZA,LBY
25,EGY,LBY
661,NIR,LBY
356,SDN,LBY
518,TCD,LBY
492,TUN,LBY
364,ISR,LEB
207,SYR,LEB
532,CHE,LIE
639,AUT,LIE       
342,IND,LKA
375,ZAF,LSO
302,BLR,LTU
216,LVA,LTU
584,POL,LTU
546,RUS,LTU
238,BEL,LUX
429,DEU,LUX
415,FRA,LUX
301,BLR,LVA
591,EST,LVA
42,LTU,LVA
545,RUS,LVA
311,GRC,MAC
682,HKG,MAC
72,SRB,MAC
283,BGR,MAC    
455,DZA,MAR
671,ESH,MAR
101,ESP,MAR
203,MRT,MAR
416,FRA,MCO
450,ROU,MDA
525,UKR,MDA
512,USA,MEX
291,BLZ,MEX 
229,GTM,MEX   
467,ALB,MKD   
242,GIN,MLI
404,SEN,MLI
201,MRT,MLI   
471,CIV,MLI    
128,BFA,MLI     
452,DZA,MLI     
655,NIR,MLI      
90,BGD,MMR
148,CHN,MMR
341,IND,MMR
155,LAO,MMR
67,PAK,MMR
159,THA,MMR
469,ALB,MNE
18,BOS,MNE
257,HRV,MNE
75,SRB,MNE
142,CHN,MNG
555,RUS,MNG
191,MWI,MOZ
520,SWA,MOZ
636,TAZ,MOZ
372,ZAF,MOZ
181,ZMB,MOZ
167,ZWE,MOZ
343,IND,MPL
453,DZA,MRT
672,ESH,MRT
329,MAR,MRT
606,MLI,MRT
405,SEN,MRT
221,MOZ,MWI
638,TAZ,MWI
183,ZMB,MWI
570,BRN,MYS
331,IDN,MYS
177,PHL,MYS
68,SGP,MYS
162,THA,MYS
324,AGO,NAM
24,BWA,NAM
374,ZAF,NAM
184,ZMB,NAM
236,BEN,NGA
537,CMR,NGA
658,NIR,NGA
516,TCD,NGA
597,HND,NIC
88,SLV,NIC
347,CRI,NIC 
130,BFA,NIR
454,DZA,NIR
607,MLI,NIR
198,NGA,NIR
233,BEN,NIR   
6,LBY,NIR     
514,TCD,NIR     
237,BEL,NLD
427,DEU,NLD
174,FIN,NOR
552,RUS,NOR
326,SWE,NOR
149,CHN,NPL
124,SAU,OMN
114,UAE,OMN
189,YEM,OMN
298,AFG,PAK
147,CHN,PAK
339,IND,PAK
625,IRN,PAK
104,MMR,PAK
389,COL,PAN
348,CRI,PAN
649,ARG,PAR
46,BOL,PAR
507,BRA,PAR
505,BRA,PER
387,COL,PER
401,ECU,PER
598,CHL,PER  
44,BOL,PER    
227,MYS,PHL
612,AUL,PNG
334,IDN,PNG
397,SOL,PNG
483,CZE,POL
432,DEU,POL
543,RUS,POL
40,LTU,POL   
299,BLR,POL    
613,SVK,POL    
522,UKR,POL      
143,CHN,PRK
259,KOR,PRK
556,RUS,PRK
100,ESP,PRT
684,ISR,PSE
567,BHR,QAT
122,SAU,QAT
113,UAE,QAT
286,BGR,ROU
272,HUN,ROU
593,MDA,ROU
77,SRB,ROU
526,UKR,ROU
422,AZE,RUS
300,BLR,RUS
137,CHN,RUS
590,EST,RUS
171,FIN,RUS
305,GEO,RUS
630,JPN,RUS
493,KAZ,RUS
41,LTU,RUS
214,LVA,RUS
335,MNG,RUS
344,NOR,RUS
583,POL,RUS
92,PRK,RUS
527,UKR,RUS
513,USA,RUS
280,BDI,RWA
59,COD,RWA
635,TAZ,RWA
410,UGA,RWA
29,EGY,SAU
34,IRQ,SAU
366,ISR,SAU
82,JOR,SAU
97,KWT,SAU
188,YEM,SAU
566,BHR,SAU 
134,OMN,SAU  
12,QAT,SAU  
112,UAE,SAU  
266,CAF,SDN
26,EGY,SDN
578,ERI,SDN
384,ETH,SDN
444,KEN,SDN
10,LBY,SDN
411,SSD,SDN
677,SSD,SDN
519,TCD,SDN
243,GIN,SEN
91,GMB,SEN
529,GNB,SEN
202,MRT,SEN
605,MLI,SEN      
332,IDN,SIN
225,MYS,SIN
398,AAB,SKN
246,GIN,SLE
85,LBR,SLE
127,SVG,SLU
646,AUT,SVN
232,GTM,SVN
596,HND,SVN
258,HRV,SVN
271,HUN,SVN
481,ITA,SVN
194,NIC,SVN
479,ITA,SMR
670,PNG,SOL
381,ETH,SOM
442,KEN,SOM
163,DJI,SOM   
468,ALB,SRB
284,BGR,SRB
20,BOS,SRB
255,HRV,SRB
270,HUN,SRB
211,MKD,SRB
628,MNE,SRB
448,ROU,SRB
62,COD,SSD
504,BRA,SUR
250,GUY,SUR
314,GRN,SVG
288,SLU,SVG
644,AUT,SVK
485,CZE,SVK
268,HUN,SVK
582,POL,SVK
524,UKR,SVK
223,MOZ,SWA
377,ZAF,SWA
248,DNK,SWE
173,FIN,SWE
346,NOR,SWE
